Period;Date;stage;GSPC;SHY;IEF;TLT;GLD;DBC;IGLB
1;14/06/1974;red;-0.011262652;;;;;;
1;17/06/1974;red;-0.01380068;;;;;;
1;18/06/1974;red;-0.006552687;;;;;;
1;19/06/1974;red;-0.006819459;;;;;;
1;20/06/1974;red;-0.00709137;;;;;;
1;21/06/1974;red;-0.008502437;;;;;;
1;24/06/1974;red;0.002629812;;;;;;
1;25/06/1974;red;0.014710924;;;;;;
1;26/06/1974;red;-0.015396749;;;;;;
1;27/06/1974;red;-0.014838523;;;;;;
1;28/06/1974;red;-0.003591676;;;;;;
1;1/07/1974;red;0.000232519;;;;;;
1;2/07/1974;red;-0.019995276;;;;;;
1;3/07/1974;red;-0.000593156;;;;;;
1;5/07/1974;red;-0.007002924;;;;;;
1;8/07/1974;red;-0.030719665;;;;;;
1;9/07/1974;red;0.004809558;;;;;;
1;10/07/1974;red;-0.018286763;;;;;;
1;11/07/1974;red;-0.001250137;;;;;;
1;12/07/1974;red;0.040806135;;;;;;
1;15/07/1974;red;0.007576635;;;;;;
1;16/07/1974;red;-0.011577957;;;;;;
1;17/07/1974;red;0.010747487;;;;;;
1;18/07/1974;red;0.000955816;;;;;;
1;19/07/1974;red;-0.00286462;;;;;;
1;22/07/1974;red;0.003231944;;;;;;
1;23/07/1974;red;0.010022718;;;;;;
1;24/07/1974;red;0.004016495;;;;;;
1;25/07/1974;red;-0.011883687;;;;;;
1;26/07/1974;red;-0.018814024;;;;;;
1;29/07/1974;red;-0.017718435;;;;;;
1;30/07/1974;red;-0.005436156;;;;;;
1;31/07/1974;red;-0.014782639;;;;;;
1;1/08/1974;red;-0.00706087;;;;;;
1;2/08/1974;red;-0.002031793;;;;;;
1;5/08/1974;red;0.008907044;;;;;;
1;6/08/1974;red;0.015512621;;;;;;
1;7/08/1974;red;0.026453117;;;;;;
1;8/08/1974;red;-0.013067173;;;;;;
1;9/08/1974;red;-0.008704169;;;;;;
1;12/08/1974;red;-0.013727438;;;;;;
1;13/08/1974;red;-0.0157994;;;;;;
1;14/08/1974;red;-0.022423169;;;;;;
1;15/08/1974;red;-0.00560407;;;;;;
1;16/08/1974;red;-0.008256944;;;;;;
1;19/08/1974;red;-0.014536785;;;;;;
1;20/08/1974;red;0.005095846;;;;;;
1;21/08/1974;red;-0.01921274;;;;;;
1;22/08/1974;red;-0.009658537;;;;;;
1;23/08/1974;red;-0.017170329;;;;;;
1;26/08/1974;red;0.008525515;;;;;;
1;27/08/1974;red;-0.01690689;;;;;;
1;28/08/1974;red;-0.00253736;;;;;;
1;29/08/1974;red;-0.010881914;;;;;;
1;30/08/1974;red;0.030861605;;;;;;
1;3/09/1974;red;-0.02259189;;;;;;
1;4/09/1974;red;-0.025950004;;;;;;
1;5/09/1974;red;0.031736792;;;;;;
1;6/09/1974;red;0.007760624;;;;;;
1;9/09/1974;red;-0.023802814;;;;;;
1;10/09/1974;red;-0.00688473;;;;;;
1;11/09/1974;red;-0.009965263;;;;;;
1;12/09/1974;red;-0.026841778;;;;;;
1;13/09/1974;red;-0.022635319;;;;;;
1;16/09/1974;red;0.016257749;;;;;;
1;17/09/1974;red;0.016903035;;;;;;
1;18/09/1974;red;0.005046067;;;;;;
1;19/09/1974;red;0.034996974;;;;;;
1;20/09/1974;red;0.000713412;;;;;;
1;23/09/1974;red;-0.010265201;;;;;;
1;24/09/1974;red;-0.020167121;;;;;;
1;25/09/1974;red;-0.006615657;;;;;;
1;26/09/1974;red;-0.016427418;;;;;;
1;27/09/1974;red;-0.02287085;;;;;;
1;30/09/1974;red;-0.021558384;;;;;;
1;1/10/1974;red;-0.002360742;;;;;;
1;2/10/1974;red;-0.000157727;;;;;;
1;3/10/1974;red;-0.017355669;;;;;;
1;4/10/1974;red;0.000963413;;;;;;
1;7/10/1974;red;0.041867129;;;;;;
1;8/10/1974;red;-0.00169362;;;;;;
1;9/10/1974;red;0.045959339;;;;;;
1;10/10/1974;red;0.029047497;;;;;;
1;11/10/1974;red;0.019343723;;;;;;
1;14/10/1974;red;0.022490842;;;;;;
1;15/10/1974;red;-0.01787181;;;;;;
1;16/10/1974;red;-0.015537522;;;;;;
1;17/10/1974;red;0.011943642;;;;;;
1;18/10/1974;red;0.015596468;;;;;;
1;21/10/1974;red;0.016878822;;;;;;
1;22/10/1974;red;-0.005034051;;;;;;
1;23/10/1974;red;-0.028715965;;;;;;
1;24/10/1974;red;-0.011403598;;;;;;
1;25/10/1974;red;-0.001424074;;;;;;
1;28/10/1974;red;-0.000427929;;;;;;
1;29/10/1974;red;0.039092676;;;;;;
1;30/10/1974;red;0.020321237;;;;;;
1;31/10/1974;red;-0.005517374;;;;;;
1;1/11/1974;red;-0.000270694;;;;;;
1;4/11/1974;red;-0.010828309;;;;;;
1;5/11/1974;red;0.02777776;;;;;;
1;6/11/1974;red;-0.004792978;;;;;;
1;7/11/1974;red;0.006153834;;;;;;
1;8/11/1974;red;-0.00398877;;;;;;
1;11/11/1974;red;0.003203816;;;;;;
1;12/11/1974;red;-0.01969399;;;;;;
1;13/11/1974;red;-0.004343691;;;;;;
1;14/11/1974;red;-0.003953659;;;;;;
1;15/11/1974;red;-0.015740404;;;;;;
1;18/11/1974;red;-0.036712653;;;;;;
1;19/11/1974;red;-0.015446799;;;;;;
1;20/11/1974;red;-0.00439876;;;;;;
1;21/11/1974;red;0.004123693;;;;;;
1;22/11/1974;red;0.010560299;;;;;;
1;25/11/1974;red;-0.001015961;;;;;;
1;26/11/1974;red;0.009298262;;;;;;
1;27/11/1974;red;0.006765528;;;;;;
1;29/11/1974;red;0.000428922;;;;;;
1;2/12/1974;red;-0.026582829;;;;;;
1;3/12/1974;red;-0.01380124;;;;;;
1;4/12/1974;red;0.003573106;;;;;;
1;5/12/1974;red;-0.018988375;;;;;;
1;6/12/1974;red;-0.016936264;;;;;;
1;9/12/1974;red;0.00907547;;;;;;
1;10/12/1974;red;0.025609761;;;;;;
1;11/12/1974;red;0.005796662;;;;;;
1;12/12/1974;red;-0.003251089;;;;;;
1;13/12/1974;red;-0.005633762;;;;;;
1;16/12/1974;red;-0.009094985;;;;;;
1;17/12/1974;red;0.016852284;;;;;;
1;18/12/1974;red;0.004735124;;;;;;
1;19/12/1974;red;-0.003681885;;;;;;
1;20/12/1974;red;-0.010938623;;;;;;
1;23/12/1974;red;-0.014198244;;;;;;
1;24/12/1974;red;0.01394782;;;;;;
1;26/12/1974;red;0.008373284;;;;;;
1;27/12/1974;red;-0.004448444;;;;;;
1;30/12/1974;red;0.000297949;;;;;;
1;31/12/1974;red;0.02084565;;;;;;
1;2/01/1975;red;0.024358312;;;;;;
1;3/01/1975;red;0.006834625;;;;;;
1;6/01/1975;red;0.005091226;;;;;;
1;7/01/1975;red;-0.000703575;;;;;;
1;8/01/1975;red;-0.01379887;;;;;;
1;9/01/1975;red;0.016133598;;;;;;
1;10/01/1975;red;0.020233279;;;;;;
1;13/01/1975;red;-0.004131704;;;;;;
1;14/01/1975;red;-0.00871245;;;;;;
1;15/01/1975;red;0.006417398;;;;;;
1;16/01/1975;red;-0.001247523;;;;;;
1;17/01/1975;red;-0.015128438;;;;;;
1;20/01/1975;red;0.001691132;;;;;;
1;21/01/1975;red;-0.005346157;;;;;;
1;22/01/1975;red;0.014710056;;;;;;
1;23/01/1975;red;0.00459997;;;;;;
1;24/01/1975;red;0.012626664;;;;;;
1;27/01/1975;red;0.032748688;;;;;;
1;28/01/1975;red;0.008756747;;;;;;
1;29/01/1975;red;0.016177869;;;;;;
1;30/01/1975;red;-0.013590513;;;;;;
1;31/01/1975;red;0.010103717;;;;;;
1;3/02/1975;red;0.010911877;;;;;;
1;4/02/1975;red;-0.002698523;;;;;;
1;5/02/1975;red;0.017265769;;;;;;
1;6/02/1975;red;-0.004939828;;;;;;
1;7/02/1975;red;0.000891035;;;;;;
1;10/02/1975;red;-0.003433761;;;;;;
1;11/02/1975;red;0.00280757;;;;;;
1;12/02/1975;red;0.017052638;;;;;;
1;13/02/1975;red;0.013638689;;;;;;
1;14/02/1975;red;0.006048609;;;;;;
1;18/02/1975;red;-0.006993861;;;;;;
1;19/02/1975;red;0.006301769;;;;;;
1;20/02/1975;red;0.009454772;;;;;;
1;21/02/1975;red;0.004987273;;;;;;
1;24/02/1975;red;-0.014282259;;;;;;
1;25/02/1975;red;-0.023452893;;;;;;
1;26/02/1975;red;0.010562102;;;;;;
1;27/02/1975;red;0.004976905;;;;;;
1;28/02/1975;red;0.010152281;;;;;;
1;3/03/1975;red;0.017649252;;;;;;
1;4/03/1975;red;0.00638322;;;;;;
1;5/03/1975;red;0.00406898;;;;;;
1;6/03/1975;red;-0.002502969;;;;;;
1;7/03/1975;red;0.007288811;;;;;;
1;10/03/1975;red;0.007710485;;;;;;
1;11/03/1975;red;-0.006945219;;;;;;
1;12/03/1975;red;-0.009127599;;;;;;
1;13/03/1975;red;0.001794491;;;;;;
1;14/03/1975;red;0.01218061;;;;;;
1;17/03/1975;red;0.014747522;;;;;;
1;18/03/1975;red;-0.010231425;;;;;;
1;19/03/1975;red;-0.009279936;;;;;;
1;20/03/1975;red;-0.008655392;;;;;;
1;21/03/1975;red;-0.002631279;;;;;;
1;24/03/1975;red;-0.023623951;;;;;;
1;25/03/1975;red;0.007860469;;;;;;
1;26/03/1975;red;0.01864488;;;;;;
1;27/03/1975;red;0.003110446;;;;;;
1;31/03/1975;red;-0.005843743;;;;;;
2;4/09/1979;red;-0.009679829;;;;;;
2;5/09/1979;red;-0.009679829;;;;;;
2;6/09/1979;red;0.004229295;;;;;;
2;7/09/1979;red;0.007580769;;;;;;
2;10/09/1979;red;0.004737084;;;;;;
2;11/09/1979;red;-0.006101471;;;;;;
2;12/09/1979;red;0.00288343;;;;;;
2;13/09/1979;red;0.00027823;;;;;;
2;14/09/1979;red;0.008437678;;;;;;
2;17/09/1979;red;0.000735511;;;;;;
2;18/09/1979;red;-0.007717717;;;;;;
2;19/09/1979;red;0.002592581;;;;;;
2;20/09/1979;red;0.020594785;;;;;;
2;21/09/1979;red;-0.000361966;;;;;;
2;24/09/1979;red;-0.007784924;;;;;;
2;25/09/1979;red;0.000638625;;;;;;
2;26/09/1979;red;0.00255287;;;;;;
2;27/09/1979;red;0.002273554;;;;;;
2;28/09/1979;red;-0.008075487;;;;;;
2;1/10/1979;red;-0.006952087;;;;;;
2;2/10/1979;red;0.009487829;;;;;;
2;3/10/1979;red;0;;;;;;
2;4/10/1979;red;0.005292471;;;;;;
2;5/10/1979;red;0.009984555;;;;;;
2;8/10/1979;red;-0.01249213;;;;;;
2;9/10/1979;red;-0.029577722;;;;;;
2;10/10/1979;red;-0.012472984;;;;;;
2;11/10/1979;red;-0.002374169;;;;;;
2;12/10/1979;red;-0.005330844;;;;;;
2;15/10/1979;red;-0.010814406;;;;;;
2;16/10/1979;red;-0.001644719;;;;;;
2;17/10/1979;red;0.001938143;;;;;;
2;18/10/1979;red;0.002127877;;;;;;
2;19/10/1979;red;-0.019399692;;;;;;
2;22/10/1979;red;-0.008759837;;;;;;
2;23/10/1979;red;-0.004269688;;;;;;
2;24/10/1979;red;0.001595568;;;;;;
2;25/10/1979;red;-0.004380749;;;;;;
2;26/10/1979;red;0.005699997;;;;;;
2;29/10/1979;red;0.001392059;;;;;;
2;30/10/1979;red;0.019461812;;;;;;
2;31/10/1979;red;-0.008278938;;;;;;
2;1/11/1979;red;0.00736594;;;;;;
2;2/11/1979;red;-0.000584943;;;;;;
2;5/11/1979;red;-0.006731074;;;;;;
2;6/11/1979;red;-0.006089204;;;;;;
2;7/11/1979;red;-0.013142235;;;;;;
2;8/11/1979;red;0.004305601;;;;;;
2;9/11/1979;red;0.012063798;;;;;;
2;12/11/1979;red;0.019702492;;;;;;
2;13/11/1979;red;-0.005506711;;;;;;
2;14/11/1979;red;0.004371449;;;;;;
2;15/11/1979;red;0.007157345;;;;;;
2;16/11/1979;red;-0.003265115;;;;;;
2;19/11/1979;red;0.004239353;;;;;;
2;20/11/1979;red;-0.005180859;;;;;;
2;21/11/1979;red;0.001928797;;;;;;
2;23/11/1979;red;0.00750793;;;;;;
2;26/11/1979;red;0.020349718;;;;;;
2;27/11/1979;red;-0.003932638;;;;;;
2;28/11/1979;red;0.003666096;;;;;;
2;29/11/1979;red;0.000374646;;;;;;
2;30/11/1979;red;-0.006085516;;;;;;
2;3/12/1979;red;-0.003108533;;;;;;
2;4/12/1979;red;0.009071143;;;;;;
2;5/12/1979;red;0.004307511;;;;;;
2;6/12/1979;red;0.006993007;;;;;;
2;7/12/1979;red;-0.004444476;;;;;;
2;10/12/1979;red;0.001395104;;;;;;
2;11/12/1979;red;-0.001671778;;;;;;
2;12/12/1979;red;0.000279084;;;;;;
2;13/12/1979;red;0.001395104;;;;;;
2;14/12/1979;red;0.011609548;;;;;;
2;17/12/1979;red;0.003764264;;;;;;
2;18/12/1979;red;-0.009421007;;;;;;
2;19/12/1979;red;-0.000923418;;;;;;
2;20/12/1979;red;0.000554577;;;;;;
2;21/12/1979;red;-0.006188858;;;;;;
2;24/12/1979;red;0.000650687;;;;;;
2;26/12/1979;red;0.001114575;;;;;;
2;27/12/1979;red;0.001670071;;;;;;
2;28/12/1979;red;-0.001111549;;;;;;
2;31/12/1979;red;0.000927356;;;;;;
2;2/01/1980;red;-0.020196408;;;;;;
