date;close
3/01/2007 10:00;12.16
3/01/2007 11:00;11.95
3/01/2007 12:00;11.74
3/01/2007 13:00;11.53
3/01/2007 14:00;12.14
3/01/2007 15:00;12.75
3/01/2007 16:00;12.04
4/01/2007 10:00;12.4
4/01/2007 11:00;12.41
4/01/2007 12:00;12.42
4/01/2007 13:00;12.04
4/01/2007 14:00;11.66
4/01/2007 15:00;11.28
4/01/2007 16:00;11.51
5/01/2007 10:00;11.84
5/01/2007 11:00;11.98
5/01/2007 12:00;12.11
5/01/2007 13:00;12.25
5/01/2007 14:00;11.96
5/01/2007 15:00;11.68
5/01/2007 16:00;12.14
8/01/2007 10:00;12.48
8/01/2007 11:00;12.13
8/01/2007 12:00;11.78
8/01/2007 13:00;12.83
8/01/2007 14:00;12.55
8/01/2007 15:00;12.28
8/01/2007 16:00;12
9/01/2007 10:00;11.86
9/01/2007 11:00;11.69
9/01/2007 12:00;12.47
9/01/2007 13:00;12.33
9/01/2007 14:00;12.19
9/01/2007 15:00;12.05
9/01/2007 16:00;11.91
10/01/2007 10:00;12.34
10/01/2007 11:00;11.88
10/01/2007 12:00;11.43
10/01/2007 13:00;11.96
10/01/2007 14:00;12.5
10/01/2007 15:00;11.98
10/01/2007 16:00;11.47
11/01/2007 10:00;11.42
11/01/2007 11:00;11.45
11/01/2007 12:00;11.48
11/01/2007 13:00;10.99
11/01/2007 14:00;10.5
11/01/2007 15:00;10.68
11/01/2007 16:00;10.87
12/01/2007 10:00;10.93
12/01/2007 11:00;10.14
12/01/2007 12:00;10.4
12/01/2007 13:00;10.67
12/01/2007 14:00;10.93
12/01/2007 15:00;10.54
12/01/2007 16:00;10.15
16/01/2007 10:00;10.64
16/01/2007 11:00;10.89
16/01/2007 12:00;10.77
16/01/2007 13:00;10.64
16/01/2007 14:00;10.52
16/01/2007 15:00;10.4
16/01/2007 16:00;10.74
17/01/2007 10:00;10.9
17/01/2007 11:00;10.35
17/01/2007 12:00;10.49
17/01/2007 13:00;10.62
17/01/2007 14:00;10.76
17/01/2007 15:00;10.9
17/01/2007 16:00;10.59
18/01/2007 10:00;10.65
18/01/2007 11:00;11.04
18/01/2007 12:00;10.89
18/01/2007 13:00;10.74
18/01/2007 14:00;10.6
18/01/2007 15:00;10.45
18/01/2007 16:00;10.85
19/01/2007 10:00;10.8
19/01/2007 11:00;10.92
19/01/2007 12:00;11.03
19/01/2007 13:00;10.64
19/01/2007 14:00;10.24
19/01/2007 15:00;10.32
19/01/2007 16:00;10.4
22/01/2007 10:00;10.77
22/01/2007 11:00;10.62
22/01/2007 12:00;11.08
22/01/2007 13:00;11
22/01/2007 14:00;10.92
22/01/2007 15:00;10.85
22/01/2007 16:00;10.77
23/01/2007 10:00;10.77
23/01/2007 11:00;10.94
23/01/2007 12:00;10.76
23/01/2007 13:00;10.58
23/01/2007 14:00;10.4
23/01/2007 15:00;10.22
23/01/2007 16:00;10.34
24/01/2007 10:00;10.41
24/01/2007 11:00;10.41
24/01/2007 12:00;10.28
24/01/2007 13:00;10.14
24/01/2007 14:00;10
24/01/2007 15:00;9.87
24/01/2007 16:00;9.89
25/01/2007 10:00;9.99
25/01/2007 11:00;10.68
25/01/2007 12:00;11.38
25/01/2007 13:00;9.95
25/01/2007 14:00;10.37
25/01/2007 15:00;10.8
25/01/2007 16:00;11.22
26/01/2007 10:00;10.95
26/01/2007 11:00;11.6
26/01/2007 12:00;11.26
26/01/2007 13:00;10.92
26/01/2007 14:00;10.99
26/01/2007 15:00;11.06
26/01/2007 16:00;11.13
29/01/2007 10:00;11.5
29/01/2007 11:00;10.92
29/01/2007 12:00;11.6
29/01/2007 13:00;11.56
29/01/2007 14:00;11.52
29/01/2007 15:00;11.49
29/01/2007 16:00;11.45
30/01/2007 10:00;11.28
30/01/2007 11:00;11.38
30/01/2007 12:00;11.49
30/01/2007 13:00;10.95
30/01/2007 14:00;10.95
30/01/2007 15:00;10.96
30/01/2007 16:00;10.96
31/01/2007 10:00;11.09
31/01/2007 11:00;10.68
31/01/2007 12:00;10.27
31/01/2007 13:00;10.6
31/01/2007 14:00;10.93
31/01/2007 15:00;11.26
31/01/2007 16:00;10.42
1/02/2007 10:00;10.32
1/02/2007 11:00;10.43
1/02/2007 12:00;10.28
1/02/2007 13:00;10.14
1/02/2007 14:00;10.2
1/02/2007 15:00;10.25
1/02/2007 16:00;10.31
2/02/2007 10:00;10.3
2/02/2007 11:00;10.33
2/02/2007 12:00;10.36
2/02/2007 13:00;10.23
2/02/2007 14:00;10.09
2/02/2007 15:00;9.96
2/02/2007 16:00;10.08
5/02/2007 10:00;10.53
5/02/2007 11:00;10.51
5/02/2007 12:00;10.48
5/02/2007 13:00;10.46
5/02/2007 14:00;10.44
5/02/2007 15:00;10.7
5/02/2007 16:00;10.55
6/02/2007 10:00;10.55
6/02/2007 11:00;10.72
6/02/2007 12:00;10.88
6/02/2007 13:00;10.73
6/02/2007 14:00;10.59
6/02/2007 15:00;10.44
6/02/2007 16:00;10.65
7/02/2007 10:00;10.31
7/02/2007 11:00;10.39
7/02/2007 12:00;10.48
7/02/2007 13:00;10.56
7/02/2007 14:00;10.24
7/02/2007 15:00;10.28
7/02/2007 16:00;10.32
8/02/2007 10:00;10.49
8/02/2007 11:00;10.91
8/02/2007 12:00;10.78
8/02/2007 13:00;10.66
8/02/2007 14:00;10.53
8/02/2007 15:00;10.4
8/02/2007 16:00;10.44
9/02/2007 10:00;10.42
9/02/2007 11:00;10.99
9/02/2007 12:00;11.56
9/02/2007 13:00;10.25
9/02/2007 14:00;10.53
9/02/2007 15:00;10.82
9/02/2007 16:00;11.1
12/02/2007 10:00;11.33
12/02/2007 11:00;11.3
12/02/2007 12:00;11.88
12/02/2007 13:00;11.81
12/02/2007 14:00;11.74
12/02/2007 15:00;11.68
12/02/2007 16:00;11.61
13/02/2007 10:00;11.42
13/02/2007 11:00;11.42
13/02/2007 12:00;11.06
13/02/2007 13:00;10.69
13/02/2007 14:00;10.33
13/02/2007 15:00;10.34
13/02/2007 16:00;10.34
14/02/2007 10:00;10.19
14/02/2007 11:00;10.03
14/02/2007 12:00;9.86
14/02/2007 13:00;9.7
14/02/2007 14:00;10.26
14/02/2007 15:00;10.24
14/02/2007 16:00;10.23
15/02/2007 10:00;10.28
15/02/2007 11:00;10.32
15/02/2007 12:00;10.25
15/02/2007 13:00;10.18
15/02/2007 14:00;10.12
15/02/2007 15:00;10.05
15/02/2007 16:00;10.22
16/02/2007 10:00;10.42
16/02/2007 11:00;10.2
16/02/2007 12:00;9.98
16/02/2007 13:00;10.13
16/02/2007 14:00;10.29
16/02/2007 15:00;10.44
16/02/2007 16:00;10.02
20/02/2007 10:00;10.62
20/02/2007 11:00;10.46
20/02/2007 12:00;10.3
20/02/2007 13:00;10.14
20/02/2007 14:00;10.43
20/02/2007 15:00;10.72
20/02/2007 16:00;10.24
21/02/2007 10:00;10.48
21/02/2007 11:00;10.53
21/02/2007 12:00;10.41
21/02/2007 13:00;10.29
21/02/2007 14:00;10.17
21/02/2007 15:00;10.18
21/02/2007 16:00;10.2
22/02/2007 10:00;10.23
22/02/2007 11:00;10.16
22/02/2007 12:00;10.08
22/02/2007 13:00;10.01
22/02/2007 14:00;10.26
22/02/2007 15:00;10.52
22/02/2007 16:00;10.18
23/02/2007 10:00;10.41
23/02/2007 11:00;10.39
23/02/2007 12:00;10.38
23/02/2007 13:00;10.36
23/02/2007 14:00;10.7
23/02/2007 15:00;10.64
23/02/2007 16:00;10.58
26/02/2007 10:00;10.59
26/02/2007 11:00;11.44
26/02/2007 12:00;11.13
26/02/2007 13:00;10.83
26/02/2007 14:00;10.52
26/02/2007 15:00;10.84
26/02/2007 16:00;11.15
27/02/2007 10:00;12.12
27/02/2007 11:00;12.1
27/02/2007 12:00;13.83
27/02/2007 13:00;15.56
27/02/2007 14:00;17.28
27/02/2007 15:00;19.01
27/02/2007 16:00;18.31
28/02/2007 10:00;17.21
28/02/2007 11:00;17.23
28/02/2007 12:00;17.25
28/02/2007 13:00;17.27
28/02/2007 14:00;17.29
28/02/2007 15:00;14.5
28/02/2007 16:00;15.42
1/03/2007 10:00;17.76
1/03/2007 11:00;15.36
1/03/2007 12:00;16.71
1/03/2007 13:00;18.05
1/03/2007 14:00;19.4
1/03/2007 15:00;17.61
1/03/2007 16:00;15.82
2/03/2007 10:00;16.7
2/03/2007 11:00;17.66
2/03/2007 12:00;18.63
2/03/2007 13:00;17.77
2/03/2007 14:00;16.9
2/03/2007 15:00;16.04
2/03/2007 16:00;18.61
5/03/2007 10:00;20.4
5/03/2007 11:00;20.4
5/03/2007 12:00;20.41
5/03/2007 13:00;20.41
5/03/2007 14:00;18.13
5/03/2007 15:00;18.88
5/03/2007 16:00;19.63
6/03/2007 10:00;18.31
6/03/2007 11:00;18.34
6/03/2007 12:00;17.7
6/03/2007 13:00;17.05
6/03/2007 14:00;16.4
6/03/2007 15:00;15.76
6/03/2007 16:00;15.96
7/03/2007 10:00;16.25
7/03/2007 11:00;14.52
7/03/2007 12:00;14.96
7/03/2007 13:00;15.4
7/03/2007 14:00;15.83
7/03/2007 15:00;16.27
7/03/2007 16:00;15.24
8/03/2007 10:00;14.34
8/03/2007 11:00;13.91
8/03/2007 12:00;13.48
8/03/2007 13:00;13.89
8/03/2007 14:00;14.29
8/03/2007 15:00;14.7
8/03/2007 16:00;14.29
9/03/2007 10:00;13.7
9/03/2007 11:00;14.16
9/03/2007 12:00;14.62
9/03/2007 13:00;14.14
9/03/2007 14:00;13.67
9/03/2007 15:00;13.88
9/03/2007 16:00;14.09
12/03/2007 10:00;14.96
12/03/2007 11:00;14.96
12/03/2007 12:00;14.66
12/03/2007 13:00;14.36
12/03/2007 14:00;14.06
12/03/2007 15:00;13.76
12/03/2007 16:00;13.99
13/03/2007 10:00;14.87
13/03/2007 11:00;18.42
13/03/2007 12:00;16.51
13/03/2007 13:00;14.6
13/03/2007 14:00;15.78
13/03/2007 15:00;16.95
13/03/2007 16:00;18.13
14/03/2007 10:00;17.63
14/03/2007 11:00;21.25
14/03/2007 12:00;16.75
14/03/2007 13:00;16.88
14/03/2007 14:00;17.01
14/03/2007 15:00;17.14
14/03/2007 16:00;17.27
15/03/2007 10:00;16.91
15/03/2007 11:00;16.5
15/03/2007 12:00;16.09
15/03/2007 13:00;15.68
15/03/2007 14:00;15.27
15/03/2007 15:00;16.91
15/03/2007 16:00;16.43
16/03/2007 10:00;15.38
16/03/2007 11:00;17.71
16/03/2007 12:00;16.9
16/03/2007 13:00;16.1
16/03/2007 14:00;15.29
16/03/2007 15:00;16.04
16/03/2007 16:00;16.79
19/03/2007 10:00;15.82
19/03/2007 11:00;15.2
19/03/2007 12:00;14.58
19/03/2007 13:00;14.99
19/03/2007 14:00;15.41
19/03/2007 15:00;15.82
19/03/2007 16:00;14.59
20/03/2007 10:00;15.01
20/03/2007 11:00;14.42
20/03/2007 12:00;13.84
20/03/2007 13:00;13.25
20/03/2007 14:00;15.16
20/03/2007 15:00;14.22
20/03/2007 16:00;13.27
21/03/2007 10:00;13.27
21/03/2007 11:00;13.67
21/03/2007 12:00;11.21
21/03/2007 13:00;11.46
21/03/2007 14:00;11.7
21/03/2007 15:00;11.94
21/03/2007 16:00;12.19
22/03/2007 10:00;12.29
22/03/2007 11:00;12.21
22/03/2007 12:00;12.12
22/03/2007 13:00;12.04
22/03/2007 14:00;12.95
22/03/2007 15:00;12.94
22/03/2007 16:00;12.93
23/03/2007 10:00;13.13
23/03/2007 11:00;12.91
23/03/2007 12:00;12.68
23/03/2007 13:00;12.46
23/03/2007 14:00;12.82
23/03/2007 15:00;13.18
23/03/2007 16:00;12.95
26/03/2007 10:00;13.39
26/03/2007 11:00;13.27
26/03/2007 12:00;13.15
26/03/2007 13:00;13.03
26/03/2007 14:00;12.91
26/03/2007 15:00;14.7
26/03/2007 16:00;13.16
27/03/2007 10:00;13.35
27/03/2007 11:00;13.9
27/03/2007 12:00;13.35
27/03/2007 13:00;13.38
27/03/2007 14:00;13.42
27/03/2007 15:00;13.45
27/03/2007 16:00;13.48
28/03/2007 10:00;14.28
28/03/2007 11:00;14.22
28/03/2007 12:00;15.51
28/03/2007 13:00;15.38
28/03/2007 14:00;15.24
