Period;Date;stage;GSPC;SHY;IEF;TLT;GLD;DBC;IGLB
2;4/08/1980;light green;-0.001897498;;;;;;
2;5/08/1980;light green;-0.001983844;;;;;;
2;6/08/1980;light green;0.006708673;;;;;;
2;7/08/1980;light green;0.014397367;;;;;;
2;8/08/1980;light green;0.002514173;;;;;;
2;11/08/1980;light green;0.009465239;;;;;;
2;12/08/1980;light green;-0.007933947;;;;;;
2;13/08/1980;light green;-0.004119897;;;;;;
2;14/08/1980;light green;0.015979893;;;;;;
2;15/08/1980;light green;0.003752505;;;;;;
2;18/08/1980;light green;-0.018533263;;;;;;
2;19/08/1980;light green;-0.006402471;;;;;;
2;20/08/1980;light green;0.009543215;;;;;;
2;21/08/1980;light green;0.013654379;;;;;;
2;22/08/1980;light green;0.004463554;;;;;;
2;25/08/1980;light green;-0.006824257;;;;;;
2;26/08/1980;light green;-0.002556786;;;;;;
2;27/08/1980;light green;-0.010573532;;;;;;
2;28/08/1980;light green;-0.011657989;;;;;;
2;29/08/1980;light green;0.002457368;;;;;;
2;2/09/1980;light green;0.011112932;;;;;;
2;3/09/1980;light green;0.019233917;;;;;;
2;4/09/1980;light green;-0.005550305;;;;;;
2;5/09/1980;light green;-0.004305541;;;;;;
2;8/09/1980;light green;-0.012572067;;;;;;
2;9/09/1980;light green;0.006163345;;;;;;
2;10/09/1980;light green;0.005964358;;;;;;
2;11/09/1980;light green;0.006810401;;;;;;
2;12/09/1980;light green;-0.00095498;;;;;;
2;15/09/1980;light green;0.001035505;;;;;;
2;16/09/1980;light green;0.008514361;;;;;;
2;17/09/1980;light green;0.016806038;;;;;;
2;18/09/1980;light green;-0.003647096;;;;;;
2;19/09/1980;light green;0.006619986;;;;;;
2;22/09/1980;light green;0.008897438;;;;;;
2;23/09/1980;light green;-0.00743866;;;;;;
2;24/09/1980;light green;0.007262632;;;;;;
2;25/09/1980;light green;-0.01265624;;;;;;
2;26/09/1980;light green;-0.018412078;;;;;;
2;29/09/1980;light green;-0.022239791;;;;;;
2;30/09/1980;light green;0.01554151;;;;;;
2;1/10/1980;light green;0.013311001;;;;;;
2;2/10/1980;light green;0.007551318;;;;;;
2;3/10/1980;light green;0.009680736;;;;;;
2;6/10/1980;light green;0.018557132;;;;;;
2;7/10/1980;light green;-0.005541606;;;;;;
2;8/10/1980;light green;0.004961785;;;;;;
2;9/10/1980;light green;-0.004633503;;;;;;
2;10/10/1980;light green;-0.005723444;;;;;;
2;13/10/1980;light green;0.013354867;;;;;;
2;14/10/1980;light green;-7.57E-05;;;;;;
2;15/10/1980;light green;0.012725288;;;;;;
2;16/10/1980;light green;-0.011069527;;;;;;
2;17/10/1980;light green;-0.005294183;;;;;;
2;20/10/1980;light green;0.008287684;;;;;;
2;21/10/1980;light green;-0.005806533;;;;;;
2;22/10/1980;light green;0.000606811;;;;;;
2;23/10/1980;light green;-0.018117036;;;;;;
2;24/10/1980;light green;0.002470527;;;;;;
2;27/10/1980;light green;-0.015171419;;;;;;
2;28/10/1980;light green;0.001329417;;;;;;
2;29/10/1980;light green;-0.001093318;;;;;;
2;30/10/1980;light green;-0.012665177;;;;;;
2;31/10/1980;light green;0.009343577;;;;;;
2;3/11/1980;light green;0.012316561;;;;;;
2;5/11/1980;light green;0.017746502;;;;;;
2;6/11/1980;light green;-0.018426849;;;;;;
2;7/11/1980;light green;0.002094399;;;;;;
2;10/11/1980;light green;0.002322364;;;;;;
2;11/11/1980;light green;0.013747288;;;;;;
2;12/11/1980;light green;0.02536951;;;;;;
2;13/11/1980;light green;0.014117017;;;;;;
2;14/11/1980;light green;0.004835434;;;;;;
2;17/11/1980;light green;0.004374817;;;;;;
2;18/11/1980;light green;0.014156057;;;;;;
2;19/11/1980;light green;-0.004581241;;;;;;
2;20/11/1980;light green;0.009636102;;;;;;
2;21/11/1980;light green;-0.009187987;;;;;;
2;24/11/1980;light green;-0.005750866;;;;;;
2;25/11/1980;light green;0.007374768;;;;;;
2;26/11/1980;light green;0.006028826;;;;;;
2;28/11/1980;light green;0.002497012;;;;;;
2;1/12/1980;light green;-0.023555348;;;;;;
2;2/12/1980;light green;-0.001749184;;;;;;
2;3/12/1980;light green;-0.001898186;;;;;;
2;4/12/1980;light green;-0.001682474;;;;;;
2;5/12/1980;light green;-0.017951326;;;;;;
2;8/12/1980;light green;-0.025516662;;;;;;
2;9/12/1980;light green;-0.000995367;;;;;;
2;10/12/1980;light green;-0.017014112;;;;;;
2;11/12/1980;light green;-0.007016949;;;;;;
2;12/12/1980;light green;0.01468275;;;;;;
2;15/12/1980;light green;0.0017024;;;;;;
2;16/12/1980;light green;0.00888381;;;;;;
2;17/12/1980;light green;0.017534404;;;;;;
2;18/12/1980;light green;0.000827757;;;;;;
2;19/12/1980;light green;0.005263135;;;;;;
2;22/12/1980;light green;0.015557232;;;;;;
2;23/12/1980;light green;-0.003535099;;;;;;
2;24/12/1980;light green;0.004286783;;;;;;
2;26/12/1980;light green;0.005078027;;;;;;
2;29/12/1980;light green;-0.01127633;;;;;;
2;30/12/1980;light green;0.002221751;;;;;;
2;31/12/1980;light green;0.003177364;;;;;;
2;2/01/1981;light green;0.004272259;;;;;;
2;5/01/1981;light green;0.011955442;;;;;;
2;6/01/1981;light green;0.001087149;;;;;;
2;7/01/1981;light green;-0.022009799;;;;;;
2;8/01/1981;light green;-0.014954132;;;;;;
2;9/01/1981;light green;0.003156457;;;;;;
2;12/01/1981;light green;0.000299735;;;;;;
2;13/01/1981;light green;-0.001722671;;;;;;
2;14/01/1981;light green;0.001350498;;;;;;
2;15/01/1981;light green;0.00561924;;;;;;
2;16/01/1981;light green;0.004097773;;;;;;
2;19/01/1981;light green;-0.002968088;;;;;;
2;20/01/1981;light green;-0.020242623;;;;;;
2;21/01/1981;light green;-0.00220276;;;;;;
2;22/01/1981;light green;-0.008373981;;;;;;
2;23/01/1981;light green;-0.000230299;;;;;;
2;26/01/1981;light green;-0.002994697;;;;;;
2;27/01/1981;light green;0.009858278;;;;;;
2;28/01/1981;light green;-0.00594874;;;;;;
2;29/01/1981;light green;-0.000767154;;;;;;
2;30/01/1981;light green;-0.00529793;;;;;;
3;1/09/1982;light green;0.017251593;;;;;;
3;2/09/1982;light green;0.017251593;;;;;;
3;3/09/1982;light green;0.019868646;;;;;;
3;7/09/1982;light green;-0.010678168;;;;;;
3;8/09/1982;light green;0.006838545;;;;;;
3;9/09/1982;light green;-0.001882125;;;;;;
3;10/09/1982;light green;-0.008198737;;;;;;
3;13/09/1982;light green;0.010498443;;;;;;
3;14/09/1982;light green;0.007035345;;;;;;
3;15/09/1982;light green;0.009666957;;;;;;
3;16/09/1982;light green;-0.004183798;;;;;;
