month,LEI,CEI,GDP,NBER,Fed_Funds,Inflation
2/1/2012,88.6,92.4,3.3,expansion,0.1,2.9
3/1/2012,89.1,92.5,3.3,expansion,0.13,2.7
4/1/2012,88.9,92.8,1.8,expansion,0.14,2.3
5/1/2012,89.1,92.9,1.8,expansion,0.16,1.7
6/1/2012,88.7,92.9,1.8,expansion,0.16,1.7
7/1/2012,88.8,92.8,0.7,expansion,0.16,1.4
8/1/2012,88.5,92.7,0.7,expansion,0.13,1.7
9/1/2012,88.9,93,0.7,expansion,0.14,2
10/1/2012,89,93.3,0.4,expansion,0.16,2.2
11/1/2012,89,94.1,0.4,expansion,0.16,1.8
12/1/2012,89.1,95.1,0.4,expansion,0.16,1.7
1/1/2013,89.7,93.4,3.5,expansion,0.14,1.6
2/1/2013,90,93.5,3.5,expansion,0.15,2
3/1/2013,89.8,93.7,3.5,expansion,0.14,1.5
4/1/2013,90.3,93.8,0.6,expansion,0.15,1.1
5/1/2013,90.6,94.2,0.6,expansion,0.11,1.4
6/1/2013,90.6,94.2,0.6,expansion,0.09,1.8
7/1/2013,90.9,94.1,3.2,expansion,0.09,2
8/1/2013,91.4,94.4,3.2,expansion,0.08,1.5
9/1/2013,92.1,94.7,3.2,expansion,0.08,1.2
10/1/2013,92.3,94.8,2.9,expansion,0.09,1
11/1/2013,93,95.2,2.9,expansion,0.08,1.2
12/1/2013,93.2,95.3,2.9,expansion,0.09,1.5
1/1/2014,93.3,95.3,-1.4,expansion,0.07,1.6
2/1/2014,94,95.8,-1.4,expansion,0.07,1.1
3/1/2014,94.9,96.3,-1.4,expansion,0.08,1.5
4/1/2014,95,96.5,5.2,expansion,0.09,2
5/1/2014,95.4,96.7,5.2,expansion,0.09,2.1
6/1/2014,96.2,97,5.2,expansion,0.1,2.1
7/1/2014,96.7,97.3,4.7,expansion,0.09,2
8/1/2014,96.8,97.5,4.7,expansion,0.09,1.7
9/1/2014,97.5,97.7,4.7,expansion,0.09,1.7
10/1/2014,97.6,98,1.8,expansion,0.09,1.7
11/1/2014,97.9,98.4,1.8,expansion,0.09,1.3
12/1/2014,98.6,98.7,1.8,expansion,0.12,0.8
1/1/2015,98.5,98.9,3.3,expansion,0.11,-0.1
2/1/2015,98.8,98.9,3.3,expansion,0.11,0
3/1/2015,99,98.8,3.3,expansion,0.11,-0.1
4/1/2015,99.4,99,2.3,expansion,0.12,-0.2
5/1/2015,99.7,98.9,2.3,expansion,0.12,0
6/1/2015,100.3,98.9,2.3,expansion,0.13,0.1
7/1/2015,99.8,99.2,1.3,expansion,0.13,0.2
8/1/2015,99.8,99.3,1.3,expansion,0.14,0.2
9/1/2015,99.7,99.5,1.3,expansion,0.14,0
10/1/2015,99.9,99.5,0.6,expansion,0.12,0.2
11/1/2015,100.3,99.4,0.6,expansion,0.12,0.5
12/1/2015,100.2,99.4,0.6,expansion,0.24,0.7
1/1/2016,99.6,99.6,2.4,expansion,0.34,1.4
2/1/2016,99.5,99.7,2.4,expansion,0.38,1
3/1/2016,99.5,99.6,2.4,expansion,0.36,0.9
4/1/2016,99.8,99.6,1.2,expansion,0.37,1.1
5/1/2016,99.7,99.5,1.2,expansion,0.37,1
6/1/2016,99.9,99.8,1.2,expansion,0.38,1
7/1/2016,100.1,100,2.4,expansion,0.39,0.8
8/1/2016,100.2,100.2,2.4,expansion,0.4,1.1
9/1/2016,100.3,100.3,2.4,expansion,0.4,1.5
10/1/2016,100.2,100.4,2,expansion,0.4,1.6
11/1/2016,100.3,100.4,2,expansion,0.41,1.7
12/1/2016,100.8,100.9,2,expansion,0.54,2.1
1/1/2017,101.5,101,1.9,expansion,0.65,2.5
2/1/2017,101.9,101,1.9,expansion,0.66,2.7
3/1/2017,102.4,101.3,1.9,expansion,0.79,2.4
4/1/2017,102.7,101.5,2.3,expansion,0.9,2.2
5/1/2017,103.1,101.9,2.3,expansion,0.91,1.9
6/1/2017,103.7,102,2.3,expansion,1.04,1.6
7/1/2017,104,102.2,2.9,expansion,1.15,1.7
8/1/2017,104.4,102.3,2.9,expansion,1.16,1.9
9/1/2017,104.8,102.5,2.9,expansion,1.15,2.2
10/1/2017,105.8,103,3.8,expansion,1.15,2
11/1/2017,106.4,103.4,3.8,expansion,1.16,2.2
12/1/2017,107.1,103.6,3.8,expansion,1.3,2.1
1/1/2018,108,103.5,3.1,expansion,1.41,2.1
2/1/2018,108.7,103.7,3.1,expansion,1.42,2.2
3/1/2018,109.3,103.9,3.1,expansion,1.51,2.4
4/1/2018,109.8,104.2,3.4,expansion,1.69,2.5
5/1/2018,110.2,104.3,3.4,expansion,1.7,2.8
6/1/2018,111,104.6,3.4,expansion,1.82,2.9
7/1/2018,111.5,104.8,1.9,expansion,1.91,2.9
8/1/2018,111.8,105.2,1.9,expansion,1.91,2.7
9/1/2018,112.4,105.2,1.9,expansion,1.95,2.3
10/1/2018,112.5,105.2,0.9,expansion,2.19,2.5
11/1/2018,112.5,105.2,0.9,expansion,2.2,2.2
12/1/2018,112.5,105.7,0.9,expansion,2.27,1.9
1/1/2019,112.2,105.7,2.4,expansion,2.4,1.6
2/1/2019,112.4,105.7,2.4,expansion,2.4,1.5
3/1/2019,112.7,105.7,2.4,expansion,2.41,1.9
4/1/2019,112.9,105.4,3.2,expansion,2.42,2
5/1/2019,112.9,105.5,3.2,expansion,2.39,1.8
6/1/2019,112.9,105.7,3.2,expansion,2.38,1.6
7/1/2019,113.1,105.6,2.8,expansion,2.4,1.8
8/1/2019,112.8,106,2.8,expansion,2.13,1.7
9/1/2019,112.5,106,2.8,expansion,2.04,1.7
10/1/2019,112.1,105.8,1.9,expansion,1.83,1.8
11/1/2019,112.2,106.2,1.9,contraction,1.55,2.1
12/1/2019,112,106.1,1.9,contraction,1.55,2.3
1/1/2020,112.5,106.3,-5.1,contraction,1.55,2.5
2/1/2020,112.4,106.8,-5.1,contraction,1.58,2.3
3/1/2020,107,104.1,-5.1,contraction,0.65,1.5
4/1/2020,101.3,92.9,-31.2,contraction,0.05,0.3
5/1/2020,103,95.6,-31.2,expansion,0.05,0.1
6/1/2020,105.3,99.5,-31.2,expansion,0.08,0.6
7/1/2020,107.1,101.3,33.8,expansion,0.09,1
8/1/2020,108,102.3,33.8,expansion,0.1,1.3
9/1/2020,108.6,102.9,33.8,expansion,0.09,1.4
10/1/2020,109.3,103.9,4.5,expansion,0.09,1.2
11/1/2020,110.1,103.9,4.5,expansion,0.09,1.2
12/1/2020,110.8,104.1,4.5,expansion,0.09,1.4
1/1/2021,111.5,104.8,6.3,expansion,0.09,1.4
2/1/2021,111.4,103.8,6.3,expansion,0.08,1.7
3/1/2021,112.6,105.4,6.3,expansion,0.07,2.6
4/1/2021,113.8,105.6,6.7,expansion,0.07,4.2
5/1/2021,114.8,105.6,6.7,expansion,0.06,5
6/1/2021,115.5,106,6.7,expansion,0.08,5.4
7/1/2021,116.6,106.4,2.3,expansion,0.1,5.4
8/1/2021,117.4,106.4,2.3,expansion,0.09,5.3
9/1/2021,117.6,106.4,2.3,expansion,0.08,5.4
10/1/2021,118.1,107.1,6.9,expansion,0.08,6.2
11/1/2021,118.8,107.4,6.9,expansion,0.08,6.8
12/1/2021,119.3,107.3,6.9,expansion,0.08,7
1/1/2022,118.5,107.8,-1.6,expansion,0.08,7.5
2/1/2022,119.4,108.1,-1.6,expansion,0.08,7.9
3/1/2022,119.3,108.1,-1.6,expansion,0.2,8.5
4/1/2022,118.8,108.6,2.3,expansion,0.33,8.3
5/1/2022,118.3,108.8,2.3,expansion,0.77,8.6
6/1/2022,118.3,108.8,2.3,expansion,1.21,9.1
