month,LEI,CEI,NBER,delta_1m_LEI,delta_3m_LEI,delta_6m_LEI,sign_delta_1m_LEI,sign_delta_3m_LEI,sign_delta_6m_LEI,color,sec_deriv_delta_6m
Ene-18,108.0,103.5,expansion,0.008403361,0.020793951,0.038461538,1,1,1,dark green,0.005674653000000002
Feb-18,108.7,103.7,expansion,0.006481481,0.021616541,0.041187739,1,1,1,dark green,0.0027262009999999975
Mar-18,109.3,103.9,expansion,0.005519779,0.02054155,0.042938931,1,1,1,dark green,0.0017511919999999986
Abr-18,109.8,104.2,expansion,0.004574565,0.016666667,0.037807183,1,1,1,dark green,-0.0051317479999999985
May-18,110.2,104.3,expansion,0.003642987,0.013799448,0.035714286,1,1,1,dark green,-0.0020928970000000033
Jun-18,111.0,104.6,expansion,0.007259528,0.015553522,0.036414566,1,1,1,dark green,0.0007002800000000045
Jul-18,111.5,104.8,expansion,0.004504505,0.015482696,0.032407407,1,1,1,dark green,-0.004007159000000003
Ago-18,111.8,105.2,expansion,0.002690583,0.014519056,0.028518859,1,1,1,dark green,-0.0038885479999999986
Set-18,112.4,105.2,expansion,0.005366726,0.012612613,0.028362306,1,1,1,dark green,-0.00015655300000000025
Oct-18,112.5,105.2,expansion,0.00088968,0.00896861,0.024590164,1,1,1,dark green,-0.003772141999999999
Nov-18,112.5,105.2,expansion,0.0,0.006261181,0.020871143,0,1,1,dark green,-0.0037190209999999994
Dic-18,112.5,105.7,expansion,0.0,0.00088968,0.013513514,0,1,1,dark green,-0.007357629000000001
Ene-19,112.2,105.7,expansion,-0.002666667,-0.002666667,0.006278027,0,0,1,dark green,-0.0072354870000000005
Feb-19,112.4,105.7,expansion,0.001782531,-0.000888889,0.005366726,1,0,1,dark green,-0.0009113010000000006
Mar-19,112.7,105.7,expansion,0.002669039,0.001777778,0.002669039,1,1,1,dark green,-0.002697687
Abr-19,112.9,105.4,expansion,0.001774623,0.006238859,0.003555556,1,1,1,dark green,0.0008865170000000003
May-19,112.9,105.5,expansion,0.0,0.004448399,0.003555556,0,1,1,dark green,0.0
Jun-19,112.9,105.7,expansion,0.0,0.001774623,0.003555556,0,1,1,dark green,0.0
Jul-19,113.1,105.6,expansion,0.001771479,0.001771479,0.00802139,1,1,1,dark green,0.004465834
Ago-19,112.8,106.0,expansion,-0.00265252,-0.00088574,0.003558719,0,0,1,dark green,-0.004462671
Set-19,112.5,106.0,expansion,-0.002659574,-0.003542958,-0.001774623,0,0,0,orange,-0.005333342
Oct-19,112.1,105.8,expansion,-0.003555556,-0.008841733,-0.007085917,0,0,0,orange,-0.005311293999999999
Nov-19,112.2,106.2,contraction,0.000892061,-0.005319149,-0.006200177,1,0,0,orange,0.0008857399999999994
Dic-19,112.0,106.1,contraction,-0.001782531,-0.004444444,-0.007971656,0,0,0,orange,-0.0017714790000000003
Ene-20,112.5,106.3,contraction,0.004464286,0.003568243,-0.00530504,1,1,0,orange,0.002666616000000001
Feb-20,112.4,106.8,contraction,-0.000888889,0.001782531,-0.003546099,0,1,0,orange,0.0017589409999999995
Mar-20,107.0,104.1,contraction,-0.048042705,-0.044642857,-0.048888889,0,0,0,red,-0.04534279
Abr-20,101.3,92.9,contraction,-0.053271028,-0.099555556,-0.096342551,0,0,0,red,-0.047453662
May-20,103.0,95.6,expansion,0.016781836,-0.083629893,-0.081996435,1,0,0,red,0.014346115999999992
Jun-20,105.3,99.5,expansion,0.022330097,-0.01588785,-0.059821429,1,0,0,red,0.022175006000000004
