month;close;color
Jul-04;1101.72;dark green
Ago-04;1104.24;dark green
Set-04;1114.58;dark green
Oct-04;1130.2;dark green
Nov-04;1173.82;dark green
Dic-04;1211.92;dark green
Ene-05;1181.27;dark green
Feb-05;1203.6;dark green
Mar-05;1180.59;dark green
Abr-05;1156.85;dark green
May-05;1191.5;dark green
Jun-05;1191.33;dark green
Jul-05;1234.18;dark green
Ago-05;1220.33;dark green
Set-05;1228.81;dark green
Oct-05;1207.01;dark green
Nov-05;1249.48;dark green
Dic-05;1248.29;dark green
Ene-06;1280.08;dark green
Feb-06;1280.66;dark green
Mar-06;1294.87;dark green
Abr-06;1310.61;dark green
May-06;1270.09;orange
Jun-06;1270.2;orange
Jul-06;1276.66;orange
Ago-06;1303.82;orange
Set-06;1335.85;orange
Oct-06;1377.94;orange
Nov-06;1400.63;orange
Dic-06;1418.3;orange
Ene-07;1438.24;orange
Feb-07;1406.82;orange
Mar-07;1420.86;orange
Abr-07;1482.37;orange
May-07;1530.62;orange
Jun-07;1503.35;orange
Jul-07;1455.27;orange
Ago-07;1473.99;orange
Set-07;1526.75;orange
Oct-07;1549.38;orange
Nov-07;1481.14;red
Dic-07;1468.36;red
Ene-08;1378.55;red
Feb-08;1330.63;red
Mar-08;1322.7;red
Abr-08;1385.59;red
May-08;1400.38;red
Jun-08;1280;red
Jul-08;1267.38;red
Ago-08;1282.83;red
Set-08;1166.36;red
Oct-08;968.75;red
Nov-08;896.24;red
Dic-08;903.25;red
Ene-09;825.88;red
Feb-09;735.09;red
Mar-09;797.87;red
Abr-09;872.81;red
May-09;919.14;red
Jun-09;919.32;light green
Jul-09;987.48;light green
Ago-09;1020.62;light green
Set-09;1057.08;light green
Oct-09;1036.19;light green
Nov-09;1095.63;light green
Dic-09;1115.1;light green
Ene-10;1073.87;light green
Feb-10;1104.49;light green
Mar-10;1169.43;light green
Abr-10;1186.69;dark green
May-10;1089.41;dark green
Jun-10;1030.71;dark green
Jul-10;1101.6;dark green
Ago-10;1049.33;dark green
Set-10;1141.2;dark green
Oct-10;1183.26;dark green
Nov-10;1180.55;dark green
Dic-10;1257.64;dark green
Ene-11;1286.12;dark green
Feb-11;1327.22;dark green
Mar-11;1325.83;dark green
Abr-11;1363.61;dark green
May-11;1345.2;dark green
Jun-11;1320.64;dark green
Jul-11;1292.28;dark green
Ago-11;1218.89;dark green
Set-11;1131.42;orange
Oct-11;1253.3;orange
Nov-11;1246.96;orange
Dic-11;1257.6;dark green
Ene-12;1312.41;dark green
Feb-12;1365.68;dark green
Mar-12;1408.47;dark green
Abr-12;1397.91;dark green
May-12;1310.33;dark green
Jun-12;1362.16;dark green
Jul-12;1379.32;dark green
Ago-12;1406.58;dark green
Set-12;1440.67;dark green
Oct-12;1412.16;dark green
Nov-12;1416.18;dark green
Dic-12;1426.19;dark green
Ene-13;1498.11;dark green
Feb-13;1514.68;dark green
Mar-13;1569.19;dark green
Abr-13;1597.57;dark green
May-13;1630.74;dark green
Jun-13;1606.28;dark green
Jul-13;1685.73;dark green
Ago-13;1632.97;dark green
Set-13;1681.55;dark green
Oct-13;1756.54;dark green
Nov-13;1805.81;dark green
Dic-13;1848.36;dark green
Ene-14;1782.59;dark green
Feb-14;1859.45;dark green
Mar-14;1872.34;dark green
Abr-14;1883.95;dark green
May-14;1923.57;dark green
Jun-14;1960.23;dark green
Jul-14;1930.67;dark green
Ago-14;2003.37;dark green
Set-14;1972.29;dark green
Oct-14;2018.05;dark green
Nov-14;2067.56;dark green
Dic-14;2058.9;dark green
Ene-15;1994.99;dark green
Feb-15;2104.5;dark green
Mar-15;2067.89;dark green
Abr-15;2085.51;dark green
May-15;2107.39;dark green
Jun-15;2063.11;dark green
Jul-15;2103.84;dark green
Ago-15;1972.18;dark green
Set-15;1920.03;dark green
Oct-15;2079.36;dark green
Nov-15;2080.41;dark green
Dic-15;2043.94;dark green
Ene-16;1940.24;orange
Feb-16;1932.23;orange
Mar-16;2059.74;orange
Abr-16;2065.3;orange
May-16;2096.95;orange
Jun-16;2098.86;orange
Jul-16;2173.6;dark green
Ago-16;2170.95;dark green
Set-16;2168.27;dark green
Oct-16;2126.15;dark green
Nov-16;2198.81;dark green
Dic-16;2238.83;dark green
Ene-17;2278.87;dark green
Feb-17;2363.64;dark green
Mar-17;2362.72;dark green
Abr-17;2384.2;dark green
May-17;2411.8;dark green
Jun-17;2423.41;dark green
Jul-17;2470.3;dark green
Ago-17;2471.65;dark green
Set-17;2519.36;dark green
Oct-17;2575.26;dark green
Nov-17;2647.58;dark green
Dic-17;2673.61;dark green
Ene-18;2823.81;dark green
Feb-18;2713.83;dark green
Mar-18;2640.87;dark green
Abr-18;2648.05;dark green
May-18;2705.27;dark green
Jun-18;2718.37;dark green
Jul-18;2816.29;dark green
Ago-18;2901.52;dark green
Set-18;2913.98;dark green
Oct-18;2711.74;dark green
Nov-18;2760.17;dark green
Dic-18;2506.85;dark green
Ene-19;2704.1;dark green
Feb-19;2784.49;dark green
Mar-19;2834.4;dark green
Abr-19;2945.83;dark green
May-19;2752.06;dark green
Jun-19;2941.76;dark green
Jul-19;2980.38;dark green
Ago-19;2926.46;dark green
Set-19;2976.74;orange
Oct-19;3037.56;orange
Nov-19;3140.98;orange
Dic-19;3230.78;orange
Ene-20;3225.52;orange
Feb-20;2954.22;orange
Mar-20;2584.59;red
Abr-20;2912.43;red
May-20;3044.31;red
Jun-20;3100.29;red
Jul-20;3271.12;light green
Ago-20;3500.31;light green
Set-20;3363;light green
Oct-20;3269.96;light green
Nov-20;3621.63;dark green
Dic-20;3756.07;dark green
Ene-21;3714.24;dark green
Feb-21;3811.15;dark green
Mar-21;3972.89;dark green
Abr-21;4181.17;dark green
May-21;4204.11;dark green
Jun-21;4297.5;dark green
Jul-21;4395.26;dark green
Ago-21;4522.68;dark green
Set-21;4307.54;dark green
Oct-21;4605.38;dark green
Nov-21;4567;dark green
Dic-21;4766.18;dark green
Ene-22;4515.55;dark green
Feb-22;4373.94;dark green
Mar-22;4530.41;dark green
Abr-22;4131.93;dark green
May-22;4132.15;dark green
Jun-22;3785.38;orange
