Date,stage,d_GSPC,d_IXIC,d_DJI,d_IWM
04/12/2000,red,0.007405542,-0.011167032,0.018066172,-0.010973387
05/12/2000,red,0.038921688,0.104769205,0.031982873,0.048543518
06/12/2000,red,-0.01821965,-0.032285988,-0.021501594,-0.023147642
07/12/2000,red,-0.005852864,-0.01567677,-0.004409026,-0.002708739
08/12/2000,red,0.019604752,0.059858473,0.008999394,0.013577295
11/12/2000,red,0.007526105,0.033478153,0.001203188,0.045546232
12/12/2000,red,-0.00653521,-0.027637583,0.003959586,-0.021780967
13/12/2000,red,-0.008160901,-0.037178905,0.002430372,-0.018621977
14/12/2000,red,-0.014014762,-0.033392735,-0.0110659,-0.015920534
15/12/2000,red,-0.021462738,-0.027575486,-0.022485292,-0.005449306
18/12/2000,red,0.008070698,-0.010835686,0.020168737,0.01506828
19/12/2000,red,-0.012957962,-0.04298312,-0.005734842,-0.017543892
20/12/2000,red,-0.031295946,-0.071238294,-0.025078529,-0.031594326
21/12/2000,red,0.008001641,0.003146498,0.01631568,0.007802576
22/12/2000,red,0.024386965,0.075594369,0.014138021,0.041520213
26/12/2000,red,0.007075302,-0.009336437,0.005348177,0.005743097
27/12/2000,red,0.010439635,0.018379671,0.010354954,0.026535989
28/12/2000,red,0.003988146,0.007249852,0.006072261,0.032068815
29/12/2000,red,-0.010448009,-0.034107965,-0.007431348,-0.028535164
02/01/2001,red,-0.028031939,-0.072316723,-0.013147939,-0.034922131
03/01/2001,red,0.050098606,0.141731964,0.028141591,0.041427483
04/01/2001,red,-0.010552474,-0.019054555,-0.003045916,-0.012827109
05/01/2001,red,-0.026242362,-0.062014302,-0.022946387,-0.030920834
08/01/2001,red,-0.001917812,-0.004871962,-0.003813555,0.003394187
09/01/2001,red,0.00381219,0.018940586,-0.004594502,-0.001521754
10/01/2001,red,0.009586386,0.033949077,0.003000197,0.032016899
11/01/2001,red,0.0103177,0.046110079,0.000497938,0.013624846
12/01/2001,red,-0.006232871,-0.005328421,-0.007933411,0.002752915
16/01/2001,red,0.006143093,-0.003026823,0.012092702,0.020025848
17/01/2001,red,0.002125615,0.024528834,-0.006413452,-0.000633062
18/01/2001,red,0.01391532,0.031948188,0.008875417,0.003802107
19/01/2001,red,-0.004028229,0.000682644,-0.008492981,-0.017676504
22/01/2001,red,0.000268137,-0.004501177,-0.000883073,0.00706962
23/01/2001,red,0.013031499,0.029906699,0.006765713,0.024888049
24/01/2001,red,0.002866822,0.00660473,-0.000266656,-0.00373622
25/01/2001,red,-0.00497694,-0.03667869,0.007753361,-0.003749829
26/01/2001,red,-0.001885849,0.009810193,-0.006481097,0
29/01/2001,red,0.006804748,0.020508409,0.003959666,0.020326123
30/01/2001,red,0.007007877,3.52671E-06,0.016726461,0.00649254
31/01/2001,red,-0.005619714,-0.023119106,0.000566128,-0.01378148
01/02/2001,red,0.005461132,0.003628214,0.008842321,0.007333779
02/02/2001,red,-0.01747399,-0.043945119,-0.010882584,-0.022333472
05/02/2001,red,0.003586659,-0.006498793,0.009365709,0.002012818
06/02/2001,red,-0.001513722,0.008050828,-0.000768722,0.015868167
07/02/2001,red,-0.008408143,-0.021268581,-0.000976525,0.002471398
08/02/2001,red,-0.006234655,-0.017547226,-0.006044727,-0.014990215
09/02/2001,red,-0.013335549,-0.035553455,-0.009107959,-0.012815211
12/02/2001,red,0.011827291,0.007563807,0.015333682,0.02231227
13/02/2001,red,-0.008652126,-0.024878876,-0.003969136,-0.009424702
14/02/2001,red,-0.002183807,0.026230344,-0.009896999,0.010515943
15/02/2001,red,0.008123549,0.024688935,0.008856483,0.004955342
16/02/2001,red,-0.018905297,-0.049954771,-0.0083738,-0.021597856
20/02/2001,red,-0.017356563,-0.044129081,-0.006383479,-0.011591104
21/02/2001,red,-0.018507453,-0.021312638,-0.019038495,-0.017438337
22/02/2001,red,-0.00195183,-0.010568803,2.1801E-05,-0.014011698
23/02/2001,red,-0.005555436,0.007817533,-0.008065994,0.002105726
26/02/2001,red,0.017489958,0.020326977,0.019213924,0.022058744
27/02/2001,red,-0.007659908,-0.043612706,-0.000530925,-0.017985963
28/02/2001,red,-0.014309109,-0.025359852,-0.013312138,-0.014651863
01/03/2001,red,0.001040404,0.014657309,-0.00430104,0.006903976
02/03/2001,red,-0.00567979,-0.030109524,0.00154734,0.002637046
05/03/2001,red,0.005858124,0.011942615,0.009171354,-0.00368226
06/03/2001,red,0.009980598,0.02870383,0.002738033,0.014783584
07/03/2001,red,0.006452357,0.008841284,0.013065528,0.005202536
08/03/2001,red,0.002258497,-0.024816515,0.011990232,-0.008280788
09/03/2001,red,-0.024763941,-0.053464448,-0.01967443,-0.017739885
12/03/2001,red,-0.043180756,-0.063036478,-0.040994429,-0.028324857
13/03/2001,red,0.014828497,0.047520523,0.008086577,0.010410483
14/03/2001,red,-0.025842119,-0.021188449,-0.030837238,-0.023860964
15/03/2001,red,0.005871295,-0.015912056,0.005797417,-0.003888824
16/03/2001,red,-0.019624074,-0.025660675,-0.020722192,-0.018405192
19/03/2001,red,0.017626685,0.031873552,0.01381396,0.026136781
20/03/2001,red,-0.024077402,-0.048042779,-0.023932919,-0.023255532
21/03/2001,red,-0.017923702,-0.014649174,-0.024047479,-0.015306673
22/03/2001,red,-0.004063717,0.036864204,-0.01027928,-0.009787124
23/03/2001,red,0.01990909,0.01632508,0.012279679,0.02616301
26/03/2001,red,0.011282371,-0.005283439,0.019227167,0.013597799
27/03/2001,red,0.02557505,0.028011608,0.026839634,0.00804934
28/03/2001,red,-0.024429654,-0.059881442,-0.016304577,-0.026838374
29/03/2001,red,-0.004630308,-0.018100165,0.00140107,0.001709553
30/03/2001,red,0.010784447,0.01081533,0.008135546,0.019340306
02/04/2001,red,-0.012461939,-0.031131492,-0.010208809,-0.023438111
03/04/2001,red,-0.034393111,-0.061677971,-0.029885644,-0.033941967
04/04/2001,red,-0.002901109,-0.02044229,0.003132076,0.003193581
05/04/2001,red,0.043679983,0.089211586,0.042313412,0.048348752
06/04/2001,red,-0.019983576,-0.036212894,-0.0128009,-0.02812123
09/04/2001,red,0.008117395,0.014735274,0.005521402,0.02199102
10/04/2001,red,0.027066025,0.060903627,0.026164134,0.02378204
11/04/2001,red,-0.002131147,0.02533432,-0.008836266,-0.006637202
12/04/2001,red,0.015104328,0.032902449,0.011331806,0.012250121
16/04/2001,red,-0.003227669,-0.026439948,0.00312228,-0.018042326
17/04/2001,red,0.010282453,0.007148219,0.005726294,0.016132951
18/04/2001,red,0.038890404,0.081228342,0.039063339,0.029216974
