Period,Date,stage,GSPC,SHY,IEF,TLT,GLD,DBC,IGLB
1,05/03/1976,dark green,0.001920769,,,,,,
1,08/03/1976,dark green,0.010897001,,,,,,
1,09/03/1976,dark green,0.003892598,,,,,,
1,10/03/1976,dark green,0.003579246,,,,,,
1,11/03/1976,dark green,0.009411502,,,,,,
1,12/03/1976,dark green,-0.010108929,,,,,,
1,15/03/1976,dark green,-0.010509593,,,,,,
1,16/03/1976,dark green,0.011222396,,,,,,
1,17/03/1976,dark green,-0.000594507,,,,,,
1,18/03/1976,dark green,-0.004065077,,,,,,
1,19/03/1976,dark green,0.001294225,,,,,,
1,22/03/1976,dark green,0.001292477,,,,,,
1,23/03/1976,dark green,0.015192124,,,,,,
1,24/03/1976,dark green,0.011541474,,,,,,
1,25/03/1976,dark green,-0.005511504,,,,,,
1,26/03/1976,dark green,0,,,,,,
1,29/03/1976,dark green,-0.004278024,,,,,,
1,30/03/1976,dark green,-0.003905884,,,,,,
1,31/03/1976,dark green,0.007450196,,,,,,
1,01/04/1976,dark green,-0.005157135,,,,,,
1,02/04/1976,dark green,9.78296E-05,,,,,,
1,05/04/1976,dark green,0.012322759,,,,,,
1,06/04/1976,dark green,-0.00144915,,,,,,
1,07/04/1976,dark green,-0.011126175,,,,,,
1,08/04/1976,dark green,-0.009098917,,,,,,
1,09/04/1976,dark green,-0.009182468,,,,,,
1,12/04/1976,dark green,-0.001494784,,,,,,
1,13/04/1976,dark green,0.008483096,,,,,,
1,14/04/1976,dark green,-0.007323162,,,,,,
1,15/04/1976,dark green,0.003588881,,,,,,
1,19/04/1976,dark green,0.007648795,,,,,,
1,20/04/1976,dark green,0.014097006,,,,,,
1,21/04/1976,dark green,0.004374424,,,,,,
1,22/04/1976,dark green,-0.003290711,,,,,,
1,23/04/1976,dark green,-0.006700354,,,,,,
1,26/04/1976,dark green,0.001368652,,,,,,
1,27/04/1976,dark green,-0.005564773,,,,,,
1,28/04/1976,dark green,0.002650665,,,,,,
1,29/04/1976,dark green,0,,,,,,
1,30/04/1976,dark green,-0.004797786,,,,,,
1,03/05/1976,dark green,-0.007083837,,,,,,
1,04/05/1976,dark green,0.005350782,,,,,,
1,05/05/1976,dark green,-0.005716556,,,,,,
1,06/05/1976,dark green,0.002775638,,,,,,
1,07/05/1976,dark green,0.007117374,,,,,,
1,10/05/1976,dark green,0.011974884,,,,,,
1,11/05/1976,dark green,-0.001454914,,,,,,
1,12/05/1976,dark green,-0.001748425,,,,,,
