Date,stage,GSPC,SHY,IEF,TLT,GLD,DBC,IGLB
22/06/2010,dark green,-0.016070691,0.000476337,0.005991187,0.011908941,0.008804697,-0.002241125,0.007382606
23/06/2010,dark green,-0.002985474,0.000714868,0.003723106,0.006796662,-0.004116921,-0.016621837,0.012921748
24/06/2010,dark green,-0.016803503,0.000237684,-0.000847573,-0.005945663,0.002893809,0.002284214,-0.00666477
25/06/2010,dark green,0.002859363,0.000357796,0.001590193,0.004055145,0.012036265,0.018231533,0.000575874
28/06/2010,dark green,-0.002033939,0.000594308,0.007093824,0.009388922,-0.013603827,-0.010743128,0
29/06/2010,dark green,-0.031017019,0.000475405,0.00431017,0.010902715,0.0014865,-0.027601797,0.01072757
30/06/2010,dark green,-0.01011297,-0.000237489,0.001465998,0.006727763,0.003380916,0.003722624,0.001137321
01/07/2010,dark green,-0.003240452,-0.000321403,-0.000440844,0.001577464,-0.038132802,-0.015298963,0.009451427
02/07/2010,dark green,-0.004662369,0,-0.001781737,-0.007972477,0.012388901,-0.001883128,-0.008854024
06/07/2010,dark green,0.005359035,0,0.002415624,0.008235132,-0.016710236,0.002830067,0.00247086
07/07/2010,dark green,0.031330816,-0.00011846,-0.003142939,-0.011710312,0.010471215,0.022577566,-0.001706789
08/07/2010,dark green,0.009412678,0.000118474,-0.002417801,-0.006372483,-0.004416922,0.009199719,-0.001329535
09/07/2010,dark green,0.007203888,-0.000356383,-0.002634127,-0.005712385,0.009811462,0.001823136,-0.0034226
12/07/2010,dark green,0.000732902,0.000118703,0.001690483,-0.000402824,-0.008617813,-0.01137395,0.000953355
13/07/2010,dark green,0.015378879,-0.00071464,-0.004957456,-0.008569782,0.008692725,0.016106781,-0.003622252
14/07/2010,dark green,-0.000155132,0.001072877,0.004982155,0.010067556,-0.000506907,-0.001811575,0.008419928
15/07/2010,dark green,0.001196103,0.000238095,0.005167116,0.009967628,-0.000591713,0.009528033,0.010435446
16/07/2010,dark green,-0.028819473,0.000951651,0.0057708,0.004885261,-0.013194664,-0.012584318,-0.000563012
19/07/2010,dark green,0.00598189,-0.000356918,-0.002607823,-0.00615135,-0.008056868,-0.000910234,-0.000375162
20/07/2010,dark green,0.011416551,0.000357045,0.001045019,0.001497408,0.007949521,0.008200372,-0.000376124
21/07/2010,dark green,-0.012819816,0.000475523,0.006373998,0.016943939,-0.006858148,-0.002711225,0.011281746
22/07/2010,dark green,0.022513373,-0.000356848,-0.005502409,-0.011565378,0.008718188,0.01993663,-0.004090078
23/07/2010,dark green,0.00822002,-0.000475367,-0.003235921,-0.010609143,-0.006589118,-0.003109697,-0.004107925
26/07/2010,dark green,0.011200167,-0.000356545,-0.000314911,-0.001704419,-0.004909981,-0.000891344,0.00018751
27/07/2010,dark green,-0.001049357,-0.000595154,-0.003456823,-0.009637627,-0.017399537,-0.010704707,-0.004310986
28/07/2010,dark green,-0.006921965,0.000952393,0.004310118,0.00324426,0.002378616,0.004057757,0.008659067
29/07/2010,dark green,-0.004158621,0.000832738,0.002093586,-0.000303353,0.004482353,0.014369047,-0.001118739
30/07/2010,dark green,6.34999E-05,0.000475197,0.005850012,0.015565395,0.01049958,0.013280251,0.009341863
02/08/2010,dark green,0.022022521,-0.000226086,-0.003093124,-0.01403835,0.000432964,0.019222343,-0.002194503
03/08/2010,dark green,-0.004796355,0.000713719,0.004700545,0.005772358,0.003894729,0.003429026,-0.001676734
04/08/2010,dark green,0.006051112,-0.000831745,-0.004158385,-0.007652409,0.006293675,0.008543355,-0.004106753
05/08/2010,dark green,-0.001268524,0.001188839,0.004802777,0.004667337,0.002227572,-0.004658995,0.009184398
06/08/2010,dark green,-0.003704039,0.000237685,0.006545848,0.01090681,0.007351623,-0.008936079,0.00612947
09/08/2010,dark green,0.005483064,-0.000593523,-0.000207017,-0.003695757,-0.003733832,0.003434915,-0.001846249
10/08/2010,dark green,-0.005967405,0.00047504,0.005057954,0.002105361,0.002810919,-0.010697534,0.004993092
11/08/2010,dark green,-0.028178765,0.000236958,0.00565026,0.013407651,-0.003312725,-0.022491375,0.002576618
12/08/2010,dark green,-0.005378749,-0.000236902,-0.002553861,-0.002468337,0.012186811,-0.007522134,-0.002752646
13/08/2010,dark green,-0.004023574,-0.000118878,0.004301208,0.012471269,-0.000252578,-0.000891654,0.004969081
16/08/2010,dark green,0.000120459,0.000950641,0.007239778,0.025027508,0.008337591,-0.003123574,0
17/08/2010,dark green,0.012192216,-0.000237959,-0.005061835,-0.005722638,0.000167014,0.014324113,0.01245394
18/08/2010,dark green,0.001482779,0.000238015,-0.001017247,0.002685968,0.003924853,-0.003971803,0.005607879
19/08/2010,dark green,-0.016935392,0.000236461,0.004481585,0.015593608,0.001414059,-0.010190502,0.007195685
20/08/2010,dark green,-0.003663029,-0.000355257,-0.003245643,-0.001130599,-0.003488647,-0.00626681,0.004108198
23/08/2010,dark green,-0.004040307,0.000118894,0.001323467,0.000189215,-0.001583749,-0.006756776,-0.003201871
24/08/2010,dark green,-0.014512433,0.00071138,0.007924032,0.0160281,0.004842226,-0.011337932,0.003925746
25/08/2010,dark green,0.003289343,-0.000948664,-0.004535466,-0.003247812,0.008308408,0.005046001,-0.001954866
26/08/2010,dark green,-0.007684786,0,0.00455613,0.009403025,-0.003295991,0.011410288,0.00712292
27/08/2010,dark green,0.016586768,-0.000711949,-0.01149076,-0.028315369,0.000413385,0.017148017,-0.015738218
30/08/2010,dark green,-0.014719209,0.001187327,0.007647722,0.019173481,-0.000826365,-0.001774692,0.007546315
31/08/2010,dark green,0.000390794,0.000355955,0.004452561,0.01108356,0.009676603,-0.013333286,-0.00089174
01/09/2010,dark green,0.029504621,-0.000592749,-0.007201819,-0.020676735,-0.003194622,0.019819795,-0.013985873
02/09/2010,dark green,0.009080836,-0.000238258,-0.004170022,-0.010566368,0.004930549,0.007067153,-0.010352621
03/09/2010,dark green,0.013219002,-0.000474633,-0.005721044,-0.012394595,-0.003516234,0.00526319,-0.006239196
07/09/2010,dark green,-0.01147119,0.001069181,0.007911529,0.020467264,0.006893126,0.005235635,0.01661999
08/09/2010,dark green,0.006438699,-0.000712026,-0.002752239,-0.007946608,8.15175E-05,0.002170117,-0.001090351
09/09/2010,dark green,0.00483229,-0.001069599,-0.007871381,-0.01974131,-0.009371702,-0.005630256,-0.011274974
10/09/2010,dark green,0.004863333,-0.000118549,-0.002884888,-0.004572488,0.001398534,0.010453113,-0.00496487
13/09/2010,dark green,0.011130616,0.000832744,0.004753674,0.004887214,-0.000903645,0.007327596,0.003881292
14/09/2010,dark green,-0.000713119,0.000713287,0.005038718,0.009627855,0.019733546,0.002995263,0.008469832
15/09/2010,dark green,0.003541138,0.000236861,-0.003477675,-0.014834826,-0.00064501,-0.001706551,-0.009858798
16/09/2010,dark green,-0.000364344,0.000237104,-0.003492343,-0.009876053,0.005567169,-0.005128153,-0.008298878
17/09/2010,dark green,0.000826856,0.000237646,0.002266274,0.004049205,-0.000722109,0.003436391,0.001488363
20/09/2010,dark green,0.015209797,0.000118994,0.003084919,0.005803638,0.002649766,0.008133563,0.00148477
21/09/2010,dark green,-0.002564021,0.000711788,0.009326484,0.013885913,0.00912949,-0.01061577,0
22/09/2010,dark green,-0.004825493,-0.000118995,0.001523122,0.008969948,0.001507776,0.006008691,0.022061458
23/09/2010,dark green,-0.00833134,0.000119009,0.001419675,0.0028679,0.000792442,0.00085315,0.002538999
24/09/2010,dark green,0.021194393,-0.000118995,-0.004960954,-0.013439768,0.00308788,0.015345364,-0.012664525
27/09/2010,dark green,-0.005667433,0.000237122,0.007733657,0.01739074,0.000236789,-0.006717141,0
28/09/2010,dark green,0.004850386,0.000237165,0.00333077,0.006837702,0.008917277,0,0.017958557
29/09/2010,dark green,-0.002587759,-0.000237109,-0.002414406,-0.004150585,0.000782154,0.013102315,-0.005760742
30/09/2010,dark green,-0.003083722,0.000119081,-0.001211368,-0.000663117,-0.000312569,0.005840657,0.005250498
01/10/2010,dark green,0.004416438,0.000178052,0.00053723,-0.00483196,0.007817997,0.002073807,-0.00256783
04/10/2010,dark green,-0.008034933,0.000118647,0.003541134,0.002580344,-0.003490784,-0.003311225,0.001269256
05/10/2010,dark green,0.020861341,0.000473934,0.000201811,-0.006006809,0.019694836,0.020348793,-0.003078124
